,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
239,IT Services,Sr. Data Engineer,4.5,$25 to $50 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,77,92,84.5,Moser Consulting,Indianapolis,Indianapolis,1,24,1,0,1,1,0,0,1
240,Consulting,Senior Machine Learning Engineer,5.0,Unknown / Non-Applicable,Business Services,501 to 1000 employees,Company - Private,0,0,77,92,84.5,QuantumBlack,Boston,London,0,11,1,0,1,0,1,0,1
241,Enterprise Software & Network Solutions,Sr. Enterprise Account Exec- Data Science / ML - NYC,4.1,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,77,92,84.5,h2o.ai,New York,Mountain View,0,9,0,0,0,1,1,0,1
242,IT Services,Data Analyst (Secret Clearance Required),4.6,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,77,92,84.5,Concept Plus,Charleston,Fairfax,0,12,0,0,0,0,0,1,0
243,-1,"Scientist, Upstream Process Development (Bioreactors)",4.4,Unknown / Non-Applicable,-1,51 to 200 employees,Company - Public,0,0,77,92,84.5,"Homology Medicines, Inc.",Bedford,Bedford,1,-1,0,0,0,0,1,0,0
244,Lending,Senior Data Engineer,3.8,$10+ billion (USD),Finance,10000+ employees,Company - Private,0,0,77,92,84.5,Quicken Loans,Detroit,Detroit,1,35,1,0,0,0,0,0,0
245,Internet,Senior Data Engineer,4.1,$500 million to $1 billion (USD),Information Technology,501 to 1000 employees,Company - Public,0,0,77,92,84.5,CarGurus,Cambridge,Cambridge,1,14,1,0,0,0,1,0,0
246,-1,Scientist/Sr. Scientist Cancer cell biology,-1.0,-1,-1,-1,-1,0,0,77,92,84.5,Hunter Biodiscovery,Boston,-1,0,-1,0,0,0,0,1,0,0
247,Biotech & Pharmaceuticals,"Associate Director, Data Scientist - Digital Medicine",3.7,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,77,92,84.5,Karyopharm Therapeutics Inc.,Newton,Newton,1,-1,1,0,0,0,0,0,1
248,IT Services,Data Analyst/Operations Research Analyst,4.1,$50 to $100 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,77,92,84.5,Favor TechConsulting,Fort Meade,Vienna,0,13,0,0,0,0,1,1,0
249,Insurance Carriers,Sr. HRIS & Data Analyst,3.0,Unknown / Non-Applicable,Insurance,201 to 500 employees,Nonprofit Organization,0,0,77,92,84.5,Twia,Austin,Austin,1,49,0,0,0,0,1,0,0
250,Biotech & Pharmaceuticals,"Senior Scientist/Manager, Conjugation",2.9,$1 to $5 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,77,92,84.5,"Immunomedics, Inc.",Morris Plains,Morris Plains,1,38,0,0,0,0,0,0,0
251,IT Services,Cloud Data Engineer,4.5,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,77,92,84.5,Plus3 IT Systems,Reston,Reston,1,5,0,0,0,1,0,0,0
252,IT Services,"Extract, Transform, Load (ETL) Data Engineer, Senior Level (51-3)",4.4,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,77,92,84.5,FREEDOM CONSULTING GROUP,Springfield,Columbia,0,16,0,0,0,1,1,0,0
253,Biotech & Pharmaceuticals,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.6,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,77,92,84.5,Rubius Therapeutics,Smithfield,Cambridge,0,7,0,0,0,0,0,0,0
254,IT Services,Data Scientist,3.7,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,66,112,89.0,Powertek,Washington,Rockville,0,19,1,0,0,1,0,0,1
255,Health Care Services & Hospitals,Data Scientist,3.6,Unknown / Non-Applicable,Health Care,201 to 500 employees,Hospital,0,0,66,112,89.0,VA Boston Healthcare System,Boston,Boston,1,-1,1,0,0,0,0,0,1
256,Computer Hardware & Software,Data Scientist – Manage and Analyze at Seal Software – a DocuSign Company,4.6,$1 to $2 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,0,0,66,112,89.0,DocuSign,Walnut Creek,San Francisco,0,17,1,0,0,0,0,0,1
257,-1,Data Scientist,4.3,Less than $1 million (USD),-1,1 to 50 employees,Company - Private,0,0,66,112,89.0,Descript,San Francisco,Houston,0,-1,1,0,0,0,0,0,0
258,Enterprise Software & Network Solutions,Senior Data Scientist,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,66,112,89.0,Novetta,Herndon,Mc Lean,0,8,1,0,0,1,1,0,1
259,Venture Capital & Private Equity,Data Engineer,4.4,$50 to $100 million (USD),Finance,201 to 500 employees,Company - Private,0,0,66,112,89.0,Resurgent Capital Services,Cincinnati,Greenville,0,22,1,0,0,1,1,0,0
260,Aerospace & Defense,"Data Scientist / Machine Learning / DL / AI - C++ / CUDA / Syracuse, N",3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,66,112,89.0,Lockheed Martin,Liverpool,Bethesda,0,25,1,0,0,0,0,0,1
261,Colleges & Universities,Machine Learning Research Scientist,2.7,Unknown / Non-Applicable,Education,501 to 1000 employees,College / University,0,0,66,112,89.0,Software Engineering Institute,Pittsburgh,Pittsburgh,1,36,1,0,0,0,0,0,1
262,Internet,Data Scientist,4.1,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,66,112,89.0,TaskRabbit,San Francisco,San Francisco,1,12,0,0,1,1,1,0,1
263,Food & Beverage Stores,Data Scientist,5.0,$100 to $500 million (USD),Retail,201 to 500 employees,Company - Public,0,0,66,112,89.0,NakedWines.com,Napa,Norwich,0,12,1,0,0,0,0,0,0
264,Education Training Services,Data Scientist - Insights,4.4,Unknown / Non-Applicable,Education,501 to 1000 employees,Company - Private,0,0,66,112,89.0,Udemy,San Francisco,San Francisco,1,10,1,0,0,0,0,1,0
265,Architectural & Engineering Services,Environmental/Wetland Scientist,3.9,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,66,112,89.0,Kleinfelder,Westborough,San Diego,0,59,0,0,0,0,1,0,0
266,Insurance Carriers,Data Scientist,4.5,Unknown / Non-Applicable,Insurance,201 to 500 employees,Company - Private,0,0,66,112,89.0,Next Insurance,Palo Alto,Palo Alto,1,4,1,0,0,0,0,0,1
268,Biotech & Pharmaceuticals,Natural Language Processing (NLP) Data Scientist,4.1,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Private,0,0,66,112,89.0,Amplity Health,Yardley,Yardley,1,1,1,0,1,1,1,1,1
270,Stock Exchanges,Machine Learning Engineer - Regulatory,3.7,$500 million to $1 billion (USD),Finance,501 to 1000 employees,Company - Public,0,0,66,112,89.0,Cboe Global Markets,Lenexa,Chicago,0,47,1,0,0,0,1,0,1
271,Financial Transaction Processing,Data Scientist,2.9,$100 to $500 million (USD),Finance,201 to 500 employees,Company - Private,0,0,66,112,89.0,Yapstone,Walnut Creek,Walnut Creek,1,21,1,0,0,0,1,0,1
272,Sports & Recreation,Data Analyst,3.8,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",501 to 1000 employees,Company - Private,0,0,66,112,89.0,NCSA - Next College Student Athlete,Chicago,Chicago,1,20,0,0,0,1,1,1,0
273,Biotech & Pharmaceuticals,Sr Scientist - Extractables & Leachables,3.6,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,66,112,89.0,Ritedose,Columbia,Columbia,1,25,0,0,0,0,1,0,0
274,Enterprise Software & Network Solutions,Data Scientist,4.6,$100 to $500 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,66,112,89.0,C3.ai,Redwood City,Redwood City,1,11,1,0,0,0,1,0,1
275,Aerospace & Defense,Principal Data Scientist / Sr. Principal Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,66,112,89.0,Northrop Grumman,San Jose,Falls Church,0,81,1,0,0,0,0,0,1
276,Aerospace & Defense,Data Scientist,4.6,$100 to $500 million (USD),Aerospace & Defense,501 to 1000 employees,Company - Private,0,0,66,112,89.0,Centauri,Reston,Chantilly,0,21,0,0,0,0,0,0,0
277,Insurance Carriers,Data Analyst I - Junior,3.0,$2 to $5 billion (USD),Insurance,5001 to 10000 employees,Company - Public,0,0,66,112,89.0,National General Insurance,Orlando,New York,0,81,1,0,0,0,1,0,0
278,Federal Agencies,Aviation Data Scientist and Machine Learning Engineer,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,66,112,89.0,MITRE,McLean,Bedford,0,62,1,0,1,0,1,1,1
280,Internet,Data Architect,3.9,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Public,0,0,66,112,89.0,Life360,San Francisco,San Francisco,1,12,1,0,1,1,0,0,0
281,Advertising & Marketing,Data Engineer (Remote),4.2,$25 to $50 million (USD),Business Services,51 to 200 employees,Company - Public,0,0,66,112,89.0,IZEA,Winter Park,Winter Park,1,14,1,0,1,1,1,0,1
282,Staffing & Outsourcing,Data Scientist,5.0,Unknown / Non-Applicable,Business Services,Unknown,Company - Private,0,0,66,112,89.0,IZEA,New York,New York,1,-1,1,0,0,0,0,0,1
284,Aerospace & Defense,Data Scientist,3.5,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,66,112,89.0,Leidos,Washington,Reston,0,51,1,0,0,1,0,0,1
285,Computer Hardware & Software,Data Scientist,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,66,112,89.0,Klaviyo,Boston,Boston,1,8,0,0,0,0,0,0,1
286,Video Games,Data Scientist (Engineering),4.2,$500 million to $1 billion (USD),Media,1001 to 5000 employees,Company - Public,0,0,116,181,148.5,Zynga,Austin,San Francisco,0,13,1,0,1,1,0,0,1
287,Computer Hardware & Software,Senior Data Scientist,3.8,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,116,181,148.5,Intercom,San Francisco,San Francisco,1,9,1,0,0,0,1,0,0
288,Computer Hardware & Software,Data Science Software Engineer,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,116,181,148.5,Klaviyo,Boston,Boston,1,8,1,0,0,0,0,0,1
289,Industrial Manufacturing,Data Scientist,3.1,$10+ billion (USD),Manufacturing,10000+ employees,Company - Public,0,0,116,181,148.5,Stanley Black & Decker,New Portsmouth,New Britain,0,177,1,0,0,0,1,1,0
290,Biotech & Pharmaceuticals,Clinical Laboratory Scientist - Future Opportunities,3.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Private,0,0,116,181,148.5,Q2 Solutions,Valencia,Morrisville,0,5,0,0,0,0,1,0,0
291,Biotech & Pharmaceuticals,"Scientist, Oncology Translational Scientist",3.9,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,116,181,148.5,GSK,Collegeville,Brentford,0,190,0,0,0,1,0,0,0
292,Video Games,Data Scientist,3.5,$10+ billion (USD),Media,5001 to 10000 employees,Subsidiary or Business Segment,0,0,116,181,148.5,Sony PlayStation,San Mateo,San Mateo,1,26,1,0,0,0,1,1,0
293,IT Services,Principal Data Scientist with over 10 years experience,-1.0,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,116,181,148.5,CA-One Tech Cloud,San Francisco,Fremont,0,3,1,0,0,1,1,1,1
294,Federal Agencies,Lead AI Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,116,181,148.5,MITRE,McLean,Bedford,0,62,1,0,0,0,0,0,1
295,Biotech & Pharmaceuticals,Data Scientist,2.8,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,116,181,148.5,Roivant Sciences,Remote,New York,0,-1,1,0,1,1,0,1,1
296,Internet,Big Data Engineer - Chicago - Future Opportunity,4.0,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,116,181,148.5,Centro,Chicago,Chicago,1,19,1,0,1,1,0,0,1
297,Computer Hardware & Software,Data Scientist,4.4,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,116,181,148.5,Spin,San Francisco,San Francisco,1,4,1,0,0,0,0,0,1
298,Investment Banking & Asset Management,"Data Scientist, Machine Learning innovator",3.7,$10+ billion (USD),Finance,10000+ employees,Company - Public,0,0,116,181,148.5,Standard Chartered Bank,San Francisco,London,0,-1,0,0,0,1,0,0,1
299,Insurance Agencies & Brokerages,Data Engineer,3.7,$100 to $500 million (USD),Insurance,1001 to 5000 employees,Company - Public,0,0,116,181,148.5,eHealth,Santa Clara,Santa Clara,1,23,1,0,1,1,1,1,1
300,Enterprise Software & Network Solutions,Data Scientist,3.7,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,116,181,148.5,Ordergroove,New York,New York,1,10,1,0,0,0,0,0,1
301,Advertising & Marketing,Data Scientist,3.4,$1 to $2 billion (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,116,181,148.5,Maritz,Remote,Fenton,0,126,1,0,0,0,1,0,0
302,Aerospace & Defense,Data Scientist (Journeyman),3.6,$10 to $25 million (USD),Aerospace & Defense,10000+ employees,Subsidiary or Business Segment,0,0,116,181,148.5,BAE Systems USA,McLean,Arlington,0,21,0,0,0,1,1,0,1
303,Computer Hardware & Software,Data Scientist,4.0,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,116,181,148.5,Elutions,Tampa,Tampa,1,26,1,0,1,0,0,0,1
304,Computer Hardware & Software,Data Scientist,4.0,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,116,181,148.5,AirDNA,Denver,Denver,1,6,1,0,1,0,1,0,1
305,Financial Analytics & Research,Data Scientist,4.4,Unknown / Non-Applicable,Finance,1 to 50 employees,Company - Private,0,0,116,181,148.5,Bond,San Francisco,San Francisco,1,1,1,0,0,0,0,1,1
306,Financial Transaction Processing,Sr. Data Scientist,3.3,$2 to $5 billion (USD),Finance,5001 to 10000 employees,Company - Public,0,0,116,181,148.5,Navient,Fishers,Wilmington,0,6,1,0,1,0,1,1,1
307,Oil & Gas Exploration & Production,Environmental Scientist/Engineer,4.4,$50 to $100 million (USD),"Oil, Gas, Energy & Utilities",501 to 1000 employees,Company - Private,0,0,116,181,148.5,Trihydro,Tulsa,Laramie,0,36,0,0,0,0,1,0,0
308,Biotech & Pharmaceuticals,"Associate Scientist, Upstream Process Development",4.1,$1 to $5 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,116,181,148.5,REGENXBIO,Rockville,Rockville,1,11,0,0,0,0,0,0,0
309,Enterprise Software & Network Solutions,Data Scientist,4.4,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,116,181,148.5,Duetto,San Francisco,San Francisco,1,8,1,0,0,0,1,0,1
310,Accounting,Data Analyst/Programmer,3.8,$100 to $500 million (USD),Accounting & Legal,501 to 1000 employees,Private Practice / Firm,0,0,116,181,148.5,Mark Paneth,Washington,New York,0,113,0,0,0,1,1,0,0
311,Computer Hardware & Software,Lead Data Scientist,4.6,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,116,181,148.5,Strivr,Palo Alto,Palo Alto,1,5,1,0,0,0,0,0,0
312,Insurance Carriers,Data Scientist,3.9,$10 to $25 million (USD),Insurance,51 to 200 employees,Company - Private,0,0,116,181,148.5,Trace Data,Oakland,Santa Ana,0,20,1,0,1,0,0,0,1
313,Internet,Data Scientist,3.2,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,116,181,148.5,ConsumerTrack,California,Los Angeles,0,16,1,0,0,0,1,1,1
314,Health Care Services & Hospitals,Data Scientist,3.4,$10+ billion (USD),Health Care,10000+ employees,Company - Public,0,0,116,181,148.5,UnitedHealth Group,San Juan,Minnetonka,0,43,1,0,1,0,0,0,0
315,Consulting,Data Engineer,4.8,$25 to $50 million (USD),Business Services,51 to 200 employees,Company - Private,0,0,116,181,148.5,Object Partners,Saint Louis,Minneapolis,0,24,0,0,1,1,0,0,0
316,Internet,Data Scientist,4.1,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,116,181,148.5,Yonder,Remote,Austin,0,3,1,0,0,0,0,0,1
317,Advertising & Marketing,Data Scientist,4.3,Unknown / Non-Applicable,Business Services,1 to 50 employees,Company - Private,0,0,116,181,148.5,Match Relevant,Mountain View,Laguna Beach,0,-1,1,0,0,0,0,0,1
318,Federal Agencies,Cleared Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,85,137,111.0,MITRE,McLean,Bedford,0,62,1,0,0,1,1,1,1
319,Enterprise Software & Network Solutions,Data Scientist Intern,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,85,137,111.0,First Orion,North Little Rock,North Little Rock,1,12,1,0,1,0,0,0,1
320,Consulting,Data Scientist,3.5,$10+ billion (USD),Business Services,10000+ employees,Company - Public,0,0,85,137,111.0,CGI,Baltimore,Montreal,0,44,1,0,0,0,0,1,1
321,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,1 to 50 employees,Unknown,0,0,85,137,111.0,Watchful,San Francisco,Tel Aviv-Yafo,0,-1,1,0,0,0,0,0,1
322,Internet,"Data Scientist, Disney+ App Performance & Quality",3.6,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,85,137,111.0,Disney Streaming Services,San Francisco,New York,0,2,1,0,0,0,0,1,1
323,Biotech & Pharmaceuticals,Senior Data Scientist,4.7,$1 to $5 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,85,137,111.0,Recursion Pharmaceuticals,Salt Lake City,Salt Lake City,1,7,1,0,0,1,1,0,1
324,Computer Hardware & Software,Data Scientist,4.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,85,137,111.0,BDS Analytics,Remote,Boulder,0,6,0,0,0,0,1,1,0
325,Lending,"Technology-Minded, Data Professional Opportunities",4.8,Unknown / Non-Applicable,Finance,1001 to 5000 employees,Company - Private,0,0,85,137,111.0,Veterans United Home Loans,Columbia,Columbia,1,18,0,0,1,0,1,1,0
327,Architectural & Engineering Services,Mid-Level Ecologist/Biologist/Wetland Scientist,4.0,$100 to $500 million (USD),Business Services,501 to 1000 employees,Company - Private,0,0,85,137,111.0,GZA GeoEnvironmental,Syracuse,Norwood,0,56,0,0,0,0,0,0,0
328,Investment Banking & Asset Management,"Risk and Analytics IT, Data Scientist",2.9,$50 to $100 million (USD),Finance,51 to 200 employees,Government,0,0,85,137,111.0,State of Wisconsin Investment Board,Madison,Madison,1,69,1,0,0,0,0,1,0
329,"Department, Clothing, & Shoe Stores",Data Scientist,3.2,$5 to $10 billion (USD),Retail,10000+ employees,Subsidiary or Business Segment,0,0,85,137,111.0,QVC,Saint Petersburg,West Chester,0,34,1,0,0,0,1,1,0
330,Aerospace & Defense,Data Engineer,4.5,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 employees,Company - Private,0,0,85,137,111.0,"Torch Technologies, Inc.",Colorado Springs,Huntsville,0,18,1,0,0,1,0,0,0
331,IT Services,Data Scientist,3.7,$10+ billion (USD),Information Technology,10000+ employees,Company - Public,0,0,85,137,111.0,IBM,Washington,Armonk,0,109,1,0,1,0,1,0,1
332,IT Services,"Extract, Transform, Load (ETL) Data Engineer, Mid Level (51-2)",4.4,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,85,137,111.0,FREEDOM CONSULTING GROUP,Springfield,Columbia,0,16,0,0,0,1,1,0,0
333,Aerospace & Defense,Cyber Data Scientist,4.5,$1 to $2 billion (USD),Aerospace & Defense,5001 to 10000 employees,Nonprofit Organization,0,0,85,137,111.0,Johns Hopkins University Applied Physics Laboratory,Laurel,Laurel,1,78,0,0,0,0,0,0,1
334,Consulting,Data Scientist,4.1,$10 to $25 million (USD),Business Services,51 to 200 employees,Company - Private,0,0,85,137,111.0,Coverent,McLean,McLean,1,12,1,0,0,0,1,0,0
335,IT Services,Data Scientist,4.2,Less than $1 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,85,137,111.0,Centraprise,Foster City,Edison,0,-1,1,0,0,0,0,0,1
336,Banks & Credit Unions,Data Scientist,3.9,$10+ billion (USD),Finance,10000+ employees,Company - Public,0,0,85,137,111.0,Capital One,McLean,Mc Lean,0,26,1,0,1,1,0,0,1
337,IT Services,Principal Data & Analytics Consultant - Boston,4.3,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,85,137,111.0,Magenic,Waltham,St Louis Park,0,25,0,0,1,1,0,1,0
338,Advertising & Marketing,Data Scientist,3.0,$100 to $500 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,85,137,111.0,Known,New York,New York,1,16,1,0,0,0,0,0,1
339,-1,Big Data Engineer,4.0,Unknown / Non-Applicable,-1,Unknown,Unknown,0,0,85,137,111.0,"Meridian Technologies, Inc",Seattle,Farmington Hills,0,-1,1,0,1,1,1,0,1
340,Internet,Infrastructure & Data Engineering Lead,3.9,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,85,137,111.0,Tinybeans,Remote,New York,0,8,0,0,0,1,1,0,0
341,Internet,Data Scientist,3.8,$2 to $5 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,85,137,111.0,Criteo,Ann Arbor,Paris,0,15,1,0,1,0,0,0,1
342,Consulting,Data Analyst,3.8,$25 to $50 million (USD),Business Services,201 to 500 employees,Nonprofit Organization,0,0,85,137,111.0,NYSTEC,Albany,Rome,0,24,0,0,0,0,0,1,0
343,Consulting,Data Scientist,3.8,$5 to $10 billion (USD),Business Services,10000+ employees,Company - Public,0,0,85,137,111.0,Booz Allen Hamilton Inc.,New York,McLean,0,106,1,0,0,0,1,1,0
344,Health Care Services & Hospitals,Associate Clinical Scientist,4.2,$100 to $500 million (USD),Health Care,501 to 1000 employees,Company - Public,0,0,85,137,111.0,"Tabula Rasa HealthCare, Inc",Orlando,Moorestown,0,11,0,0,0,0,0,0,0
345,Other Retail Stores,Data Scientist,4.0,$100 to $500 million (USD),Retail,501 to 1000 employees,Company - Private,0,0,85,137,111.0,Market America Inc,Monterey,Greensboro,0,28,1,0,1,0,1,0,1
346,Health Care Services & Hospitals,Medical Lab Scientist,3.5,Unknown / Non-Applicable,Health Care,5001 to 10000 employees,Nonprofit Organization,0,0,85,137,111.0,Tower Health,West Grove,Reading,0,3,0,0,0,0,0,0,0
347,Energy,"Data Scientist - Statistics, Mid-Career",3.8,$500 million to $1 billion (USD),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,0,0,85,137,111.0,Pacific Northwest National Laboratory,Richland,Richland,1,55,0,0,0,0,0,0,1
348,Biotech & Pharmaceuticals,Data Engineer,3.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,0,0,85,137,111.0,Alphascript Pharmacy,Houston,San Carlos,0,8,1,0,0,0,1,0,0
349,Internet,Data Scientist,4.3,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,85,137,111.0,Entefy,Palo Alto,Palo Alto,1,8,1,0,0,0,0,0,0
350,Biotech & Pharmaceuticals,Data Scientist (Data Analytics Specialist),4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Subsidiary or Business Segment,0,0,116,182,149.0,Genentech,South San Francisco,South San Francisco,1,44,0,0,0,0,1,0,1
351,Enterprise Software & Network Solutions,Data Scientist,4.2,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,116,182,149.0,Netskope,San Francisco,Santa Clara,0,8,1,0,1,0,1,0,1
352,Education Training Services,Business Intelligence Analyst,3.8,Unknown / Non-Applicable,Education,1001 to 5000 employees,Nonprofit Organization,0,0,116,182,149.0,UMA Education,Tampa,Tampa,1,26,0,0,0,0,1,1,0
353,Consulting,Data Scientist,-1.0,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,0,0,116,182,149.0,Microagility,South San Francisco,Princeton,0,-1,0,0,0,0,0,0,0
354,Health Care Services & Hospitals,Data Scientist,4.4,Unknown / Non-Applicable,Health Care,1001 to 5000 employees,Hospital,0,0,116,182,149.0,Huntsman Cancer Institute,Salt Lake City,Salt Lake City,1,-1,1,0,0,1,1,0,1
355,IT Services,Data Scientist,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,116,182,149.0,"The Buffalo Group, LLC",Washington,Reston,0,10,1,0,0,0,1,1,0
356,Biotech & Pharmaceuticals,Real World Evidence (RWE) Scientist,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,0,0,116,182,149.0,Genesis Research,Hoboken,Hoboken,1,11,1,0,0,0,0,0,0
357,-1,Data Scientist,4.3,Unknown / Non-Applicable,-1,51 to 200 employees,Company - Private,0,0,116,182,149.0,Joby Aviation,San Carlos,Santa Cruz,0,-1,1,0,1,1,1,0,1
358,Enterprise Software & Network Solutions,Data Scientist,3.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,116,182,149.0,TransVoyant,Alexandria,Alexandria,1,8,0,0,1,0,0,0,0
359,Staffing & Outsourcing,Supply Chain Data Scientist,3.5,$100 to $500 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,116,182,149.0,Medix,North Bethesda,Chicago,0,19,1,0,0,0,0,1,1
360,Advertising & Marketing,Data Scientist,2.8,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,116,182,149.0,Match Group,New York,Norwalk,0,22,1,0,0,0,0,0,1
361,Banks & Credit Unions,"Senior Data Analyst, Member Services",4.8,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,116,182,149.0,Chime,San Francisco,San Francisco,1,7,1,0,0,0,1,0,0
362,Federal Agencies,Data Scientist,5.0,Unknown / Non-Applicable,Government,1 to 50 employees,Contract,0,0,116,182,149.0,Cintel Inc,Huntsville,Huntsville,1,-1,1,0,0,1,1,0,1
363,Advertising & Marketing,Data Scientist,2.1,Unknown / Non-Applicable,Business Services,201 to 500 employees,Company - Private,0,0,116,182,149.0,affinitiv,Clearwater,Chicago,0,4,1,0,1,1,0,0,1
364,Enterprise Software & Network Solutions,"Data Scientist, Senior",4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,116,182,149.0,Novetta,Fort Belvoir,Mc Lean,0,8,1,0,0,1,1,0,1
365,News Outlet,Data Scientist,3.4,$50 to $100 million (USD),Media,201 to 500 employees,Company - Private,0,0,116,182,149.0,Insider Inc,New York,New York,1,13,1,0,0,0,1,0,0
366,IT Services,Data Scientist,4.2,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,116,182,149.0,Scientific Research Corporation,Fort Belvoir,Atlanta,0,32,0,0,0,0,1,0,0
367,Telecommunications Manufacturing,Data Scientist,3.3,$1 to $2 billion (USD),Telecommunications,10000+ employees,Company - Public,0,0,116,182,149.0,II-VI Incorporated,Champaign,Saxonburg,0,49,0,0,0,0,1,0,0
368,State & Regional Agencies,Data Scientist,4.1,Less than $1 million (USD),Government,1 to 50 employees,Government,0,0,116,182,149.0,"Attorney General, New York State",New York,Albany,0,-1,1,0,0,1,1,1,1
